customerid,sessionid,tstamp,page
498073,2,2017-04-11 14:22:32.000000,SEARCH
498073,2,2017-04-11 14:34:51.000000,SEARCH
498073,2,2017-04-11 14:17:49.000000,VIEW PRODUCT
498073,2,2017-04-11 14:16:53.000000,VIEW PRODUCT
498073,2,2017-04-11 14:29:20.000000,SEARCH
498073,2,2017-04-11 14:20:55.000000,VIEW PRODUCT
498073,2,2017-04-11 14:35:21.000000,SEARCH
498073,2,2017-04-11 14:33:11.000000,SEARCH
498073,2,2017-04-11 14:43:53.000000,SEARCH
498073,2,2017-04-11 14:25:26.000000,VIEW PRODUCT
498073,2,2017-04-11 14:30:16.000000,VIEW PRODUCT
498073,2,2017-04-11 14:38:27.000000,VIEW PRODUCT
498073,2,2017-04-11 14:16:52.000000,ENTER
498073,2,2017-04-11 14:43:54.000000,EXIT
498073,2,2017-04-11 14:36:21.000000,VIEW PRODUCT
498073,2,2017-04-11 14:24:37.000000,SEARCH
498073,2,2017-04-11 14:19:46.000000,VIEW PRODUCT
498073,2,2017-04-11 14:27:27.000000,SEARCH
498073,2,2017-04-11 14:41:08.000000,SEARCH
